"","x"
"1",34.6755136836007
"2",34.2524786212121
"3",34.0955828475936
"4",34.1141624331551
"5",34.2831406345811
"6",33.0501931301248
"7",32.4228935445633
"8",34.6630707611408
"9",33.58978435918
"10",34.0898474661319
"11",35.8442175115865
"12",34.9804478547237
"13",35.2131362959002
"14",34.2830988083779
"15",33.6381247165776
"16",35.5599129224599
"17",36.8408136033868
"18",37.465607057041
"19",33.9927487816399
"20",34.2344345249554
"21",32.9826019438503
"22",34.744830573975
"23",35.6933879554367
"24",33.3496327379679
"25",34.5618544777184
"26",38.2280674527629
"27",35.6317433226381
"28",39.8552552085562
"29",37.6446999438502
"30",39.8028703475936
"31",40.1931512326203
"32",38.892346214795
"33",35.6092412887701
"34",36.1034658208557
"35",38.022288627451
