"","x"
"1",215.011148432099
"2",211.541967633745
"3",214.490909654321
"4",211.231942378601
"5",218.717511028807
"6",213.827121547325
"7",201.940934814815
"8",205.061590205761
"9",195.273509481481
"10",192.448913831276
"11",207.714160024691
"12",206.829555711934
"13",217.483086962963
"14",215.982011148148
"15",213.425870909465
"16",224.87494008642
"17",227.622098600823
"18",233.136286695473
"19",204.054977711934
"20",210.110437744856
"21",200.251871930041
"22",210.384173613169
"23",220.934863
"24",204.984606658436
"25",219.953896395062
"26",256.943456674897
"27",227.060711728395
"28",242.014776432099
"29",232.122327572016
"30",251.223954238683
"31",253.433222716049
"32",235.086930082305
"33",226.770548176955
"34",227.426175567901
"35",238.089658213992
