"","x"
"1",163.33666138806
"2",164.181974129353
"3",167.46668878607
"4",165.187737626866
"5",167.701467303483
"6",163.90818581592
"7",157.071743522388
"8",154.976362945274
"9",149.183448810945
"10",148.753316920398
"11",167.579895845771
"12",159.17409358209
"13",170.407811024876
"14",166.268754940299
"15",166.693606691542
"16",174.643068373134
"17",173.214576701493
"18",171.697573054726
"19",160.320385278607
"20",160.104559029851
"21",153.982550711443
"22",158.119448283582
"23",168.702055402985
"24",156.114005671642
"25",164.919935497512
"26",192.001633671642
"27",176.639943656716
"28",187.666197054726
"29",180.209180318408
"30",190.356959746269
"31",181.689408776119
"32",178.88182240796
"33",170.050978676617
"34",172.79630778607
"35",177.415042781095
