"","x"
"1",33.3641661004566
"2",33.4076728721461
"3",33.260464652968
"4",33.2576933242009
"5",32.9470627716895
"6",32.2350566803653
"7",31.5358944611872
"8",33.2026000319635
"9",32.1807580776256
"10",32.7375490410959
"11",33.6108421004566
"12",33.2205254292237
"13",33.2178989178082
"14",32.4630447579909
"15",32.0749330365297
"16",34.2416876347032
"17",35.2965916621005
"18",35.6462592922374
"19",33.4269269223744
"20",33.3464145205479
"21",31.4132279269406
"22",32.9453225707763
"23",33.4340031643836
"24",31.8131750319635
"25",31.9442497990868
"26",36.3738585342466
"27",34.3290645844749
"28",38.0405452420091
"29",35.2030834657534
"30",34.8122129634703
"31",32.9039664155251
"32",34.5822273835616
"33",32.2050302283105
"34",33.8199709315069
"35",35.3631678356164
