"","x"
"1",280.012231364583
"2",275.090378010417
"3",278.762104104167
"4",271.708413604167
"5",279.632379041667
"6",276.578910135417
"7",263.772037895833
"8",264.930960041667
"9",256.014361333333
"10",251.978122197917
"11",274.223487625
"12",270.298405364583
"13",285.326025645833
"14",279.507531479167
"15",276.005085520833
"16",290.814662020833
"17",292.902981510417
"18",295.286349979167
"19",263.524426010417
"20",271.19887671875
"21",259.633967760417
"22",266.914785260417
"23",282.111847
"24",264.621892895833
"25",284.349910489583
"26",333.370644333333
"27",295.37842525
"28",311.39367334375
"29",297.406766927083
"30",318.439483208333
"31",313.55214621875
"32",302.423063864583
"33",293.220611427083
"34",296.19497015625
"35",303.29649509375
