"","x"
"1",360.390652435897
"2",350.857267628205
"3",352.825381179487
"4",345.600935410256
"5",357.802976358974
"6",353.373126448718
"7",336.382625884615
"8",344.847197179487
"9",331.354694666667
"10",324.592432974359
"11",344.91054924359
"12",348.83589825641
"13",362.221952038462
"14",357.959228358974
"15",350.673711192308
"16",366.910975384615
"17",374.78196375641
"18",384.882547884615
"19",335.254665166667
"20",349.248000333333
"21",334.59168901282
"22",348.488086153846
"23",361.288808935897
"24",341.954400089744
"25",369.371719679487
"26",424.023091461539
"27",373.960070102564
"28",398.771150333333
"29",379.359397076923
"30",407.732977435897
"31",413.486720576923
"32",389.594534628205
"33",376.444910128205
"34",379.100933705128
"35",392.461107641026
