"","x"
"1",109.789328036559
"2",106.564239960215
"3",107.479606515054
"4",104.578203964516
"5",108.674532095699
"6",107.676974276344
"7",103.121137860215
"8",106.718376072043
"9",103.909726319355
"10",103.774764043011
"11",106.67599785914
"12",109.554108788172
"13",112.892755003226
"14",110.876587546237
"15",108.540185567742
"16",114.103854170968
"17",115.676304947312
"18",118.12209751828
"19",104.792602254839
"20",108.184959060215
"21",104.396041062366
"22",110.422002988172
"23",113.410293746237
"24",107.949408311828
"25",115.462173010753
"26",126.02833647957
"27",112.199675339785
"28",121.448897307527
"29",115.909719610753
"30",126.535122206452
"31",132.695261835484
"32",125.193201570968
"33",119.353174890323
"34",118.822691972043
"35",121.491908665591
