"","x"
"1",202.97826822449
"2",198.804047003401
"3",200.227224380952
"4",196.420995190476
"5",204.288403261905
"6",200.733140962585
"7",190.209127431973
"8",196.074166459184
"9",188.690097333333
"10",186.690355520408
"11",195.761578329932
"12",198.356451006803
"13",206.158784044218
"14",205.160428384354
"15",201.741240295918
"16",213.523554231293
"17",216.662875119048
"18",223.674373071429
"19",194.807973
"20",201.099257707483
"21",191.957761693877
"22",202.29107057483
"23",209.138770040816
"24",196.132920846939
"25",208.99214694898
"26",238.601320411565
"27",212.097146857143
"28",225.477420061224
"29",216.903874707483
"30",234.658728040816
"31",239.364121295918
"32",225.097829911565
"33",218.150158938776
"34",217.649515782313
"35",225.179175207483
