"","x"
"1",54.2470150909091
"2",54.4030384545455
"3",54.6906079646465
"4",54.8359167777778
"5",54.0886424090909
"6",53.1775832171717
"7",52.195499530303
"8",53.7938552525253
"9",52.1862702424242
"10",52.4361002424242
"11",54.7513750252525
"12",53.8649534848485
"13",54.1515746010101
"14",53.9235781565656
"15",54.3956146010101
"16",57.0211858585859
"17",57.614968489899
"18",57.7762023636364
"19",54.2281351969697
"20",53.7263407121212
"21",50.7809749646465
"22",52.8638199747475
"23",53.3873411414141
"24",51.540905489899
"25",50.6647858939394
"26",58.3610819040404
"27",56.168928489899
"28",62.1374020454545
"29",58.3128016161616
"30",57.9954492222222
"31",54.412822020202
"32",56.3086008787879
"33",53.2680721212121
"34",55.2822212777778
"35",57.1991507777778
