"","x"
"1",78.7624429861548
"2",77.3072261267045
"3",77.9356632685126
"4",76.5170669425215
"5",78.6238124159849
"6",77.0272556807216
"7",73.691153684078
"8",76.1992984250053
"9",73.3924823184393
"10",73.1840753744493
"11",77.7724264539543
"12",77.6069366182086
"13",80.3127761082441
"14",78.9738785311517
"15",77.7885135433186
"16",82.0550107648416
"17",83.319509212083
"18",84.9770038049088
"19",75.4198558646948
"20",77.254945939165
"21",73.9399796977134
"22",77.9368465030417
"23",80.8121924042375
"24",75.8011051034194
"25",80.6061220832808
"26",91.4202087581288
"27",81.9686916062512
"28",89.1404334262639
"29",84.5952203725614
"30",91.0752172959933
"31",92.4330569049716
"32",87.9985108888189
"33",83.3674483698343
"34",83.9872629343402
"35",86.9494083291379
