"","x"
"1",84.9930086666667
"2",86.2415835
"3",88.0675861666667
"4",85.927301
"5",84.5083755
"6",82.9416653333333
"7",79.9354375
"8",80.8162101666667
"9",79.530313
"10",80.7358123333333
"11",88.4001356666667
"12",84.140178
"13",86.3010218333333
"14",85.256607
"15",86.6316735
"16",90.5730175
"17",89.659767
"18",88.3548773333333
"19",84.903474
"20",83.4111738333333
"21",79.3913713333334
"22",81.7068816666667
"23",85.6905046666667
"24",80.3601843333333
"25",82.3777668333333
"26",95.8314161666667
"27",90.2166621666667
"28",98.6606473333333
"29",93.0855676666667
"30",95.0090428333333
"31",91.0208671666666
"32",93.276042
"33",86.6279188333333
"34",89.177636
"35",90.9724696666667
