"","x"
"1",114.772115
"2",115.570999
"3",116.542625333333
"4",113.357723
"5",111.544728333333
"6",108.715827666667
"7",104.535347666667
"8",106.941139333333
"9",104.538947333333
"10",105.881832333333
"11",116.004770666667
"12",111.403233666667
"13",114.052616666667
"14",113.001942333333
"15",113.807613
"16",120.748365666667
"17",119.000647
"18",119.155238666667
"19",113.796722333333
"20",112.061825666667
"21",106.819391
"22",111.182014333333
"23",115.310837333333
"24",107.702713333333
"25",110.84636
"26",126.042957333333
"27",119.991339666667
"28",130.378157666667
"29",123.040133333333
"30",125.299941666667
"31",120.180786
"32",123.737617666667
"33",115.513288
"34",119.778668333333
"35",121.226624
