"","x"
"1",53.9760172378379
"2",53.7830973945946
"3",55.1903402054054
"4",55.1270882108108
"5",55.8117905117117
"6",54.1983291459459
"7",51.3717528504504
"8",51.8290404738739
"9",49.5271063369369
"10",50.2270807747748
"11",55.7520715405405
"12",53.1115383747748
"13",56.7646213783784
"14",55.6192177117117
"15",55.949624590991
"16",58.6533076810811
"17",59.1197062756757
"18",59.0554245801802
"19",54.0037791729729
"20",53.737970981982
"21",51.4396821711712
"22",53.8921185711712
"23",57.5223429711712
"24",52.0586760882883
"25",54.1973034108108
"26",64.222252572973
"27",58.5976600378378
"28",64.1300172198198
"29",61.8672207693693
"30",67.0291919783784
"31",66.0028222972973
"32",62.7169901693694
"33",58.3222828414414
"34",58.1031345783784
"35",60.8050492252252
