"","x"
"1",16.0250376323417
"2",15.0142776521739
"3",14.4535991540808
"4",13.8002552768879
"5",14.565425699466
"6",13.8325338237986
"7",13.1599866536995
"8",16.1954501960336
"9",15.193370617849
"10",15.470188682685
"11",16.3253749328757
"12",16.7433527223494
"13",16.2032374828375
"14",15.7561919374523
"15",14.7268950839054
"16",15.9210282166285
"17",17.3103226475973
"18",18.5051926834478
"19",13.859780546148
"20",15.2243220747521
"21",14.2680265652174
"22",16.3650079916095
"23",16.4395147528604
"24",15.1820692517162
"25",17.4945961792525
"26",19.5598141716247
"27",15.7995420038139
"28",19.8000829206712
"29",17.1029689763539
"30",20.0667986170862
"31",23.0447157787948
"32",20.169106631579
"33",17.4899624843631
"34",17.9887001548436
"35",19.4596402509535
