"","x"
"1",132.655466423423
"2",133.244370342342
"3",135.906802723724
"4",134.002426618619
"5",134.527297399399
"6",131.161393216216
"7",126.343791780781
"8",125.488734648649
"9",120.608385426426
"10",119.556647348348
"11",131.620036771772
"12",127.44243984985
"13",133.160320537538
"14",130.688680072072
"15",131.325325279279
"16",138.791963264264
"17",137.034722342342
"18",137.836894099099
"19",129.671668222222
"20",129.2711833003
"21",123.106578555556
"22",128.109715087087
"23",133.592036033033
"24",125.310383375375
"25",129.171265042042
"26",149.150050597598
"27",139.964119756757
"28",150.550389474475
"29",143.279002660661
"30",147.699890285285
"31",139.758271426426
"32",141.779934084084
"33",135.031148615616
"34",138.659270204204
"35",141.155360042042
