"","x"
"1",23.8948938921569
"2",20.9263864402852
"3",23.5285453270945
"4",23.4607696693404
"5",21.5524504331551
"6",21.0863059964349
"7",20.9033021746881
"8",21.8232314741533
"9",20.1513830632799
"10",20.7802226862745
"11",20.4504484919786
"12",20.9282159661319
"13",21.2252974643494
"14",20.5764395597148
"15",21.1237800508022
"16",21.4489380632799
"17",21.4389222834224
"18",20.5555392406417
"19",20.9865000944741
"20",21.5240230846702
"21",19.6279924117647
"22",21.4363741390374
"23",21.6537724919786
"24",21.3592061746881
"25",19.2684535686275
"26",20.9896367272727
"27",20.8049978333333
"28",21.4029477361854
"29",22.7846868449198
"30",22.6202858493761
"31",20.1663360142603
"32",21.3907617397504
"33",20.8027906497326
"34",18.6031642388592
"35",21.0777782655972
