"","x"
"1",181.182345205761
"2",159.17318299177
"3",181.922728946502
"4",187.2463601893
"5",171.03037426749
"6",160.795114983539
"7",163.29306762963
"8",169.059139950617
"9",166.655915600823
"10",161.802852592593
"11",165.669134695473
"12",180.211852510288
"13",174.167190596708
"14",183.419284716049
"15",169.482180662551
"16",168.739678078189
"17",169.612091769547
"18",177.747426415638
"19",169.801814617284
"20",164.332174156379
"21",180.808453510288
"22",186.404918835391
"23",185.783633082305
"24",178.3163051893
"25",151.206743337449
"26",166.453314572016
"27",171.20182945679
"28",177.579142349794
"29",164.374364415638
"30",189.59723872428
"31",183.874581209877
"32",181.290934946502
"33",165.312048658436
"34",165.211083514403
"35",177.262847823045
