"","x"
"1",127.418043606965
"2",119.110543243781
"3",130.972623711443
"4",135.283282363184
"5",119.880141472637
"6",111.697874432836
"7",112.866355721393
"8",117.471219855721
"9",124.08076360199
"10",118.626063238806
"11",120.508542825871
"12",131.219244771144
"13",123.363888144279
"14",132.223101243781
"15",117.975660109453
"16",118.71913121393
"17",117.629348462687
"18",129.134542134328
"19",118.796344099503
"20",113.700149552239
"21",128.348528716418
"22",126.002703044776
"23",129.642037199005
"24",123.284295631841
"25",102.095895154229
"26",115.097813114428
"27",121.799114427861
"28",125.845507069652
"29",115.52942578607
"30",133.526081442786
"31",118.475327646766
"32",120.779555293532
"33",108.17947020398
"34",104.8089149801
"35",116.242543308458
