"","x"
"1",216.350791197917
"2",199.87924846875
"3",219.79948015625
"4",227.276284375
"5",206.97998134375
"6",194.348232572917
"7",199.216353802083
"8",205.4283458125
"9",217.76504409375
"10",203.636904822917
"11",208.23873571875
"12",231.184855322917
"13",214.907740791667
"14",230.651287427083
"15",203.80047334375
"16",204.587347875
"17",204.415819625
"18",225.387366104167
"19",206.699290354167
"20",195.727129739583
"21",230.655873854167
"22",225.886433364583
"23",227.57056778125
"24",218.193479958333
"25",181.709132395833
"26",204.7279809375
"27",211.88676221875
"28",222.065317864583
"29",192.664322625
"30",233.72725878125
"31",225.564848479167
"32",222.911206166667
"33",198.050758770833
"34",204.785194041667
"35",212.87657734375
