"","x"
"1",290.043722551282
"2",264.001892051282
"3",292.669854833333
"4",302.500593871795
"5",282.945076384615
"6",267.882293666667
"7",272.881238833333
"8",279.951955794872
"9",286.243955858974
"10",271.283184410256
"11",277.031242871795
"12",306.800304653846
"13",290.176160230769
"14",306.727186666667
"15",278.002401128205
"16",277.120486128205
"17",278.408182474359
"18",301.85060851282
"19",281.136564589744
"20",267.807521320513
"21",309.022646602564
"22",307.770297564103
"23",304.955819858974
"24",294.563961128205
"25",253.988077038462
"26",276.909479064103
"27",284.202923641026
"28",301.459903179487
"29",264.568346679487
"30",314.64523998718
"31",319.351518833333
"32",311.526285230769
"33",279.956831397436
"34",293.161342230769
"35",297.060665525641
