"","x"
"1",94.9450547107527
"2",79.4678087494623
"3",92.5693995903226
"4",92.0764321516129
"5",88.7920045129032
"6",88.025257311828
"7",89.4464616645161
"8",91.0179362408602
"9",86.8078200526882
"10",87.7726577021505
"11",89.8037118236559
"12",94.4267159913978
"13",94.7559936494623
"14",94.2876297290323
"15",91.7918702064516
"16",90.4912247709677
"17",91.6531581215054
"18",90.8607241010753
"19",91.0298145096775
"20",90.0129216118279
"21",90.8189144139785
"22",96.3781514150538
"23",95.0611317989248
"24",94.8848931010753
"25",89.8311911354838
"26",95.9618107827957
"27",90.6778027580645
"28",95.3105405311828
"29",89.290649060215
"30",98.9477491569893
"31",103.853390329032
"32",103.732449769892
"33",96.5875760408602
"34",100.227120725806
"35",100.153555875269
