"","x"
"1",178.308652302721
"2",155.084979615646
"3",176.592322880952
"4",178.415134479592
"5",167.566158751701
"6",161.487710901361
"7",163.145196401361
"8",169.126547860544
"9",163.505356513605
"10",162.959901486395
"11",164.782455360544
"12",176.199373302721
"13",174.466508312925
"14",179.359167772109
"15",170.904361894558
"16",171.144824486395
"17",172.175596731293
"18",174.861551159864
"19",170.062498010204
"20",166.259396972789
"21",176.830852465986
"22",184.26919835034
"23",181.933404690476
"24",176.968121255102
"25",158.174782826531
"26",166.628231741497
"27",168.137513744898
"28",173.616762418367
"29",164.991662867347
"30",185.762800972789
"31",184.821504833333
"32",182.356909445578
"33",171.96643287415
"34",171.584041384354
"35",180.238374636054
