"","x"
"1",31.2596829090909
"2",32.600729949495
"3",32.9720358232323
"4",32.6574051414141
"5",31.1058448989899
"6",31.768238550505
"7",29.3755811818182
"8",31.0383729343434
"9",28.7745518787879
"10",31.2552676565657
"11",26.7050821212121
"12",26.9487022525253
"13",27.5932194949495
"14",26.1766915858586
"15",28.2357228484848
"16",30.5016285808081
"17",30.1657902727273
"18",30.7102231666667
"19",28.435850959596
"20",28.7729718989899
"21",26.1545022474747
"22",27.4261054343434
"23",26.7022087474747
"24",26.8954997828283
"25",25.6011683131313
"26",23.4799730252525
"27",27.8305308737374
"28",30.8658168989899
"29",34.0527004343434
"30",30.5799166767677
"31",26.9204967777778
"32",26.9951673636364
"33",29.6146463535354
"34",24.5554032727273
"35",27.6418388232323
