"","x"
"1",60.9745666790434
"2",53.7091798921753
"3",60.7658829838473
"4",61.4692996440109
"5",57.1785782890707
"6",55.2555259081183
"7",55.6696112481645
"8",57.4303054862597
"9",56.2645316500944
"10",55.8033120350325
"11",56.2601027377806
"12",59.945465718691
"13",58.8201891516677
"14",59.9836236182085
"15",57.1901786005873
"16",57.2565160178309
"17",57.4720699167191
"18",58.9267886534508
"19",57.179447628068
"20",56.1126857440739
"21",58.5835736349906
"22",60.9172229515419
"23",60.7679280266415
"24",59.4287525286343
"25",52.8279895903084
"26",57.4216927726033
"27",57.4539990155233
"28",60.01385069163
"29",56.9038947898049
"30",62.862996049507
"31",61.1564742563457
"32",61.5562769823789
"33",57.3944578021817
"34",57.0593500639816
"35",59.8781042567653
