"","x"
"1",46.0688713333333
"2",50.2554163333333
"3",49.6519136666667
"4",49.6293005
"5",45.594846
"6",44.7826078333333
"7",42.5175896666667
"8",44.6299355
"9",47.8820933333333
"10",48.6808206666667
"11",44.1559713333333
"12",46.2740378333333
"13",44.3480698333333
"14",44.0651673333333
"15",43.8537313333333
"16",45.736113
"17",44.5393113333333
"18",48.1535493333333
"19",43.9103743333333
"20",42.9377265
"21",44.9612455
"22",45.0615053333333
"23",45.4909853333333
"24",45.0625498333333
"25",38.244638
"26",40.4742708333333
"27",46.4484893333333
"28",49.8377456666667
"29",49.1850991666667
"30",47.0771088333333
"31",40.0914555
"32",40.1287623333333
"33",41.5746946666667
"34",37.9023231666667
"35",41.9906635
