"","x"
"1",49.5029158
"2",38.5525339189189
"3",48.3087364432433
"4",48.9894046234234
"5",43.2837992108108
"6",41.4736908720721
"7",41.8486978558559
"8",43.5406075369369
"9",41.1151972054054
"10",40.9249795405405
"11",42.0073278306306
"12",44.6561293387387
"13",44.8365796414414
"14",45.4079740072072
"15",44.4302186900901
"16",43.8899887387387
"17",44.153191018018
"18",42.5824230630631
"19",43.1574646018018
"20",43.5155483351352
"21",41.8084948720721
"22",45.9711718594594
"23",46.8623423585585
"24",45.4792037873874
"25",39.0635470918919
"26",45.7988461477477
"27",44.4081715027027
"28",46.2568082954955
"29",45.6127097045045
"30",49.6256976990991
"31",45.2282436504505
"32",47.6868145945946
"33",43.0543011297297
"34",40.6140339477478
"35",45.1996465387387
