"","x"
"1",4.5084513668955
"2",3.50115360183067
"3",4.13161171929825
"4",3.96008441647597
"5",3.67153764378337
"6",3.85579977879481
"7",3.92249703356217
"8",4.00203420976354
"9",3.32459080549199
"10",3.63437904195271
"11",3.81349262929062
"12",3.41603761632342
"13",3.76068805797101
"14",3.23369359954233
"15",3.77115976735317
"16",3.6421476948894
"17",3.85422590541571
"18",3.10647356521739
"19",3.85231827078566
"20",4.1886666071701
"21",2.99149710297483
"22",3.73337368344775
"23",3.78460631350114
"24",3.86214255987795
"25",3.52514118230359
"26",4.51286515636918
"27",3.76203993287567
"28",3.83765710602594
"29",4.28481564225782
"30",3.816672136537
"31",3.35167208619375
"32",4.08733520213577
"33",3.93071597711671
"34",3.88114420976354
"35",4.02560709610984
