"","x"
"1",87.3706407627628
"2",90.7392250750751
"3",92.41257203003
"4",94.8621766606607
"5",86.3917186726727
"6",81.8012842612612
"7",80.0044742072072
"8",83.3884875735735
"9",89.1503350720721
"10",86.6989682702703
"11",82.9471451441441
"12",89.4839151141141
"13",83.4160696486487
"14",87.505919990991
"15",80.4113538078078
"16",83.617597978979
"17",81.4641563813814
"18",92.0758833213213
"19",82.3105042702703
"20",78.8059523573574
"21",88.9983475915916
"22",87.0595354654655
"23",87.91322596997
"24",84.8982014954955
"25",70.7284336666667
"26",75.0053304294294
"27",84.8791055945946
"28",88.6080986336336
"29",84.5962117897898
"30",89.3256012762763
"31",77.3447942522522
"32",78.2600597747748
"33",76.7884096546547
"34",71.5892519129129
"35",78.1700131081081
