"","x"
"1",38.1562721809269
"2",37.8242542664884
"3",36.2743412727273
"4",35.9531219385026
"5",37.5974234982175
"6",34.7911161925134
"7",35.6107238449198
"8",38.3035241969697
"9",36.2073055124777
"10",36.8810743636364
"11",37.1069860383244
"12",37.4567254376114
"13",37.2881450008913
"14",35.681098399287
"15",34.9026810650624
"16",36.0192750490196
"17",37.6230951381462
"18",32.1772572103387
"19",35.0009728386809
"20",35.7265024224599
"21",32.5921681212121
"22",35.5787092620321
"23",37.4326139313725
"24",37.5827353297683
"25",39.5711934420678
"26",45.4134785552584
"27",36.6418192495544
"28",40.818722885918
"29",40.0517326871658
"30",39.0191076737968
"31",38.8493536158645
"32",36.0682803600713
"33",35.609547228164
"34",35.2050628609625
"35",38.6342287976827
