"","x"
"1",228.304202823045
"2",226.24790299177
"3",226.111327469136
"4",227.546726975309
"5",228.003892032922
"6",236.309957119342
"7",236.679468950617
"8",223.296475827161
"9",215.60980744856
"10",221.114018658436
"11",226.502445555555
"12",226.833217711934
"13",230.087587716049
"14",238.435856230453
"15",229.536250917695
"16",230.653435580247
"17",237.972332358025
"18",231.026001901235
"19",233.574033148148
"20",216.772494246914
"21",235.023493098765
"22",244.646323572016
"23",252.139113617284
"24",227.638274613169
"25",215.797646506173
"26",256.530227510288
"27",253.461564847737
"28",258.516309320988
"29",253.425348341564
"30",250.50225491358
"31",269.426237839506
"32",231.621099600823
"33",234.121932139918
"34",235.291827353909
"35",254.106927518518
