"","x"
"1",172.714072273632
"2",177.760790089552
"3",178.337229283582
"4",172.592229104478
"5",176.044685517413
"6",175.55496720398
"7",173.885647825871
"8",170.570138587065
"9",162.00836399005
"10",165.328963437811
"11",177.221372965174
"12",175.147739159204
"13",176.12666138806
"14",178.873748517413
"15",172.663523616915
"16",174.54922378607
"17",175.953275626866
"18",173.739569537313
"19",171.20425121393
"20",162.586355313433
"21",173.030493776119
"22",167.828864960199
"23",183.509402452736
"24",172.30852359204
"25",168.479045089552
"26",197.3094280199
"27",188.527748268657
"28",191.214872507463
"29",188.533578348259
"30",174.693814169154
"31",176.269220905473
"32",159.30250478607
"33",167.500166109453
"34",168.363115950249
"35",179.42899941791
