"","x"
"1",35.7316999086758
"2",36.3052286392694
"3",35.9016991369863
"4",33.5602714292237
"5",36.0365415616438
"6",32.8350548630137
"7",30.2975464337899
"8",37.3478881461187
"9",32.2481740091324
"10",33.081888803653
"11",34.6358963652968
"12",33.9295600913242
"13",33.4169176940639
"14",31.7018327214612
"15",31.4522595570776
"16",35.319164826484
"17",35.3781396392694
"18",35.9546597579909
"19",32.1670334520548
"20",33.6944084885845
"21",30.8978751506849
"22",30.1330368082192
"23",34.4960888493151
"24",34.521184652968
"25",36.7131992374429
"26",42.2004258401826
"27",32.5858621689498
"28",38.9275790547945
"29",35.9329749908676
"30",33.3131237808219
"31",28.4137865753425
"32",30.8256274748858
"33",32.4814323652968
"34",33.296529913242
"35",34.7218293287671
