"","x"
"1",294.20894753125
"2",292.21073346875
"3",293.595021239583
"4",287.5336655625
"5",292.328393322917
"6",304.029037583333
"7",302.839331197917
"8",287.9763028125
"9",280.785901208333
"10",284.947861791667
"11",297.485335229167
"12",296.424035260417
"13",298.294608239583
"14",306.194885864583
"15",294.077276427083
"16",296.23399
"17",301.264183791667
"18",313.054281260417
"19",298.203353208333
"20",278.367605541667
"21",302.434339802083
"22",302.683603354167
"23",318.660446770833
"24",293.123328885417
"25",278.96475184375
"26",333.714646739583
"27",327.340748927083
"28",331.906484
"29",320.95485240625
"30",307.130541083333
"31",324.015545166667
"32",292.735638072917
"33",301.441237125
"34",304.816489635417
"35",321.797538666667
