"","x"
"1",382.504192987179
"2",372.191708666667
"3",372.481923538462
"4",371.922033628205
"5",379.273767653846
"6",396.09576148718
"7",394.28738648718
"8",375.905907333333
"9",366.340003884615
"10",372.240717089744
"11",382.658412448718
"12",384.206847589744
"13",387.971409294872
"14",399.205076858974
"15",384.339620884615
"16",385.785502846154
"17",395.832871358974
"18",414.179845769231
"19",392.876885653846
"20",368.77286524359
"21",394.74284375641
"22",408.310784012821
"23",418.11506325641
"24",384.105784589744
"25",367.03038224359
"26",432.256209833333
"27",424.064958051282
"28",442.065635769231
"29",420.514764397436
"30",414.23070625641
"31",445.839480166667
"32",402.4539875
"33",402.247719051282
"34",407.660220794872
"35",431.8601325
