"","x"
"1",120.237004105376
"2",115.714419829032
"3",114.43756535914
"4",113.351040203226
"5",117.049680376344
"6",117.126621650538
"7",118.794265194624
"8",116.104157445161
"9",113.629055287097
"10",116.12680489785
"11",114.797961390323
"12",118.900311810753
"13",120.889750650538
"14",120.828999564516
"15",117.445667587097
"16",117.008121212903
"17",121.705850337634
"18",107.515913304301
"19",116.979031726882
"20",113.574665135484
"21",114.264888180645
"22",121.898403782796
"23",125.206758394624
"24",119.98574424086
"25",119.288560725806
"26",130.514422692473
"27",124.171817190323
"28",128.312113151613
"29",124.997038158064
"30",128.16333234086
"31",141.222466251613
"32",129.12465036129
"33",126.680633494624
"34",125.63953513871
"35",129.699007317204
