"","x"
"1",219.12968870068
"2",214.716331996599
"3",213.311400727891
"4",214.117162312925
"5",214.722214030612
"6",221.552134833333
"7",221.136840945578
"8",213.476055380952
"9",207.522713319728
"10",212.28387635034
"11",212.64989087415
"12",214.607090863946
"13",219.286275829932
"14",224.970406527211
"15",217.681100870748
"16",221.29784614966
"17",228.699634972789
"18",212.529593251701
"19",221.111188343537
"20",209.29591862585
"21",221.354772465986
"22",231.380522894558
"23",237.506404782313
"24",217.774823238095
"25",207.771912438776
"26",239.032906517007
"27",235.701389469388
"28",240.572739632653
"29",237.025491993197
"30",239.861575642857
"31",256.157791595238
"32",229.374437248299
"33",228.646659561224
"34",229.026191571429
"35",241.133272285714
