"","x"
"1",58.5521703282828
"2",59.7742057626263
"3",59.7286453888889
"4",56.3754220353535
"5",59.0942731363636
"6",54.3275762626263
"7",50.018026560606
"8",61.1456261717172
"9",52.2351432878788
"10",52.8847553282828
"11",56.2136107424243
"12",54.8621901969697
"13",54.5016220151515
"14",52.9608404747475
"15",53.5023818484848
"16",59.0720237979798
"17",58.8060010909091
"18",56.6887600353535
"19",52.0351724242424
"20",54.2251826262626
"21",50.1195206666667
"22",47.9767919747475
"23",54.6476662777778
"24",55.3488642626263
"25",57.7655303838384
"26",65.9516189545455
"27",53.4490246111111
"28",62.7598559191919
"29",58.7179603585859
"30",57.0640708838384
"31",47.6807227525252
"32",50.8792577171717
"33",54.0791681717172
"34",54.5933051919192
"35",55.2445401666666
