"","x"
"1",85.05901021502
"2",83.6954231147472
"3",82.7473561873296
"4",81.589505076568
"5",83.847263521502
"6",83.269467589679
"7",83.380783152507
"8",83.4389200356619
"9",79.5233392865534
"10",81.4038723882946
"11",82.9592446905811
"12",83.889857156912
"13",84.7177947986154
"14",84.9561710136354
"15",82.4237000071324
"16",83.7014355621985
"17",86.5396861315293
"18",80.0708445231802
"19",82.5215753761276
"20",79.8875384543738
"21",80.9536866343612
"22",84.9498726933081
"23",88.9469534940214
"24",84.350115899098
"25",83.6115204325572
"26",96.1856090184603
"27",88.6852719085379
"28",93.6313377388294
"29",90.7303853914411
"30",90.0144062636879
"31",94.8048725582126
"32",86.0749783358507
"33",86.075906246696
"34",86.1402194401091
"35",91.0876255389133
