"","x"
"1",108.134942666667
"2",111.443870333333
"3",111.4219645
"4",102.013892333333
"5",104.916032
"6",99.0070973333333
"7",94.0115375
"8",105.384049
"9",93.8514131666667
"10",97.0181426666667
"11",105.203659166667
"12",102.966132166667
"13",101.2293605
"14",100.872905833333
"15",100.109771333333
"16",106.540338333333
"17",105.673555666667
"18",101.682861166667
"19",96.7445295
"20",98.1278048333333
"21",94.9687438333333
"22",90.4461281666667
"23",104.2106195
"24",102.9485705
"25",106.445323333333
"26",122.148288333333
"27",104.833753333333
"28",115.505395
"29",109.876549333333
"30",102.010030333333
"31",94.5981741666667
"32",95.3936173333333
"33",100.402015166667
"34",101.751978333333
"35",103.3255775
