"","x"
"1",91.9082816666667
"2",94.9910348333333
"3",95.3097465
"4",87.6416
"5",91.1718065
"6",85.4899791666667
"7",80.8879495
"8",91.5354078333333
"9",80.7580498333333
"10",83.28394
"11",90.7776391666667
"12",89.3369151666667
"13",87.4383111666667
"14",86.7922885
"15",86.8287558333333
"16",91.1011118333333
"17",90.7873325
"18",86.8414266666667
"19",82.1570183333333
"20",83.0620226666667
"21",80.6519656666667
"22",76.3853253333333
"23",88.1940083333333
"24",87.995756
"25",92.0261016666667
"26",106.637011333333
"27",89.663614
"28",99.6323895
"29",93.7944471666667
"30",88.0152378333333
"31",81.37115
"32",81.9419378333333
"33",86.857587
"34",86.7991356666667
"35",88.41656
