"","x"
"1",123.778049
"2",127.067150333333
"3",126.58405
"4",116.366458666667
"5",119.54532
"6",112.828600333333
"7",107.378126
"8",120.261595333333
"9",107.253974666667
"10",111.002391
"11",120.297379666667
"12",117.533943666667
"13",115.722159
"14",115.129761
"15",113.911474
"16",121.835182
"17",120.761514666667
"18",116.575662666667
"19",111.189183333333
"20",113.077395
"21",108.460906333333
"22",104.146750333333
"23",119.670222333333
"24",118.048569666667
"25",121.885033
"26",139.052585333333
"27",119.577886
"28",131.805954
"29",125.866706666667
"30",116.347208333333
"31",107.936252
"32",109.164625333333
"33",114.510401333333
"34",116.581977666667
"35",118.625325666667
