"","x"
"1",59.6306330972973
"2",60.3316509333333
"3",59.6839708666667
"4",60.0452760432432
"5",59.9108321027027
"6",59.4953904828829
"7",59.9602272900901
"8",58.1300747495495
"9",55.9123727945946
"10",57.5134711099099
"11",59.4708163927928
"12",59.9335420774775
"13",60.7192923513514
"14",61.4883185873874
"15",59.903401972973
"16",59.5978516126126
"17",61.1738862216216
"18",52.3027105873874
"19",58.5904356342342
"20",55.8438542792793
"21",58.7268060504504
"22",59.8191023855856
"23",63.6249072450451
"24",58.7503332900901
"25",57.7650769711712
"26",68.8169747621622
"27",63.9105169477478
"28",65.1862953297298
"29",65.8555090108108
"30",63.9754154252252
"31",66.2076496234235
"32",56.6498342054054
"33",58.2694519567567
"34",56.6233466126126
"35",62.0854504720721
