"","x"
"1",17.9024296926011
"2",16.1035297810831
"3",14.5246812295957
"4",14.2639692311213
"5",16.0419608939741
"6",14.174309423341
"7",15.2630839610984
"8",17.432229935164
"9",15.6292440877193
"10",16.6607777704042
"11",16.2651763874905
"12",17.0781827353166
"13",17.199717460717
"14",15.7861876224256
"15",15.1654938848207
"16",15.4489876598017
"17",17.9382521670481
"18",12.9038827513349
"19",14.7012917826087
"20",15.3711806125095
"21",11.8186324035088
"22",17.1094817170099
"23",17.140110208238
"24",17.9372556140351
"25",19.7801184134249
"26",23.7607883813882
"27",16.3591436750572
"28",21.2818230930587
"29",18.8861102784134
"30",20.7743361548436
"31",23.7905443882532
"32",20.6148134912281
"33",18.2000700770404
"34",18.5582802982456
"35",20.5881910472921
