"","x"
"1",139.411871597598
"2",143.55482342042
"3",145.35593890991
"4",137.443077246246
"5",141.696974531531
"6",136.96351424024
"7",131.144731426426
"8",138.611894345345
"9",124.982700354354
"10",127.170056624625
"11",137.712795063063
"12",135.182788288288
"13",134.385032423423
"14",135.108106057057
"15",131.962893645646
"16",139.144324201201
"17",138.367891741742
"18",138.889647012012
"19",131.205761663664
"20",129.296705342342
"21",132.490278690691
"22",126.591211087087
"23",141.705005213213
"24",134.769103204204
"25",133.628102222222
"26",154.258928231231
"27",142.766282177177
"28",152.015577882883
"29",146.068985660661
"30",135.261496567568
"31",128.35075657958
"32",125.397184246246
"33",133.368333588589
"34",135.128957771772
"35",139.129070162162
