"","x"
"1",38.0892634652406
"2",36.7467653475936
"3",36.7491341648841
"4",36.9210456827095
"5",37.2351549144385
"6",35.2543411461676
"7",36.5153151987523
"8",38.1365786532977
"9",36.1223877700535
"10",37.6107132450981
"11",37.8397229367201
"12",38.4189399340464
"13",37.8343045597148
"14",37.4590177130125
"15",37.1831731131908
"16",37.1442411604278
"17",37.616522654189
"18",38.5713221497326
"19",36.8371001871658
"20",36.8540673083779
"21",35.3120851559715
"22",38.4458668003565
"23",39.3175218805704
"24",37.1748389073084
"25",37.9292370222817
"26",40.156094332442
"27",36.9253784937612
"28",41.7693299438502
"29",42.0698571853832
"30",43.4217701078431
"31",45.1729375231729
"32",43.1036502771836
"33",38.9831177807486
"34",38.9666386122995
"35",41.7099290017825
