"","x"
"1",247.982308604938
"2",240.974809839506
"3",246.017795497942
"4",248.782561711934
"5",249.27158699177
"6",237.184454814815
"7",236.216737950617
"8",247.258028971193
"9",227.804977666667
"10",235.999925242798
"11",234.360562753086
"12",239.656520633745
"13",239.411774032922
"14",245.629043703704
"15",243.36012381893
"16",239.501483395062
"17",243.173978131687
"18",256.202803654321
"19",229.318796152263
"20",232.485833489712
"21",226.930234069959
"22",251.091053588477
"23",256.226558028807
"24",232.702847485597
"25",229.113168884774
"26",240.687281304527
"27",240.98472627572
"28",259.385624962963
"29",259.914500407407
"30",265.846527563786
"31",274.802293580247
"32",263.674108790123
"33",246.248155440329
"34",249.430639234568
"35",263.195142539095
