"","x"
"1",185.926975487562
"2",186.30980341791
"3",186.735329218905
"4",185.26220538806
"5",184.631039547264
"6",179.538222835821
"7",178.48303541791
"8",180.441602482587
"9",171.124991343284
"10",176.65452759204
"11",178.592633562189
"12",180.199732721393
"13",181.935682746269
"14",181.730588363184
"15",181.661336736318
"16",181.722975885572
"17",181.49853881592
"18",187.563089930348
"19",173.069535731343
"20",174.340739149254
"21",172.190504104478
"22",181.490199164179
"23",186.682894810945
"24",173.257453965174
"25",170.275499482587
"26",181.083639228856
"27",182.756809208955
"28",191.893142487562
"29",192.418524378109
"30",196.164973830846
"31",198.278763915423
"32",191.345782432836
"33",184.023118661691
"34",184.08316600995
"35",188.061550681592
