"","x"
"1",34.9132839315069
"2",32.8074890547945
"3",33.9048677260274
"4",34.6046334703196
"5",35.350273652968
"6",33.5420950365297
"7",33.8975065981735
"8",36.3657061004566
"9",33.6823553378995
"10",35.2369590639269
"11",35.1501800547945
"12",35.4968915981735
"13",35.105914347032
"14",35.0537765022831
"15",34.7702632054795
"16",35.0791588584475
"17",36.402694890411
"18",41.8085345388128
"19",35.7513659315069
"20",36.094953456621
"21",31.2771385890411
"22",37.3591885068493
"23",37.0373392922374
"24",34.1948077031964
"25",33.729631086758
"26",36.6741294200913
"27",34.3952308675799
"28",40.7635828812785
"29",39.169971479452
"30",38.5351788949772
"31",38.9660565616438
"32",38.1574034657534
"33",35.5427403105023
"34",36.6670163196347
"35",39.5884839178082
