"","x"
"1",319.557972072917
"2",312.76541415625
"3",316.974345270833
"4",315.63278065625
"5",316.757934635417
"6",307.649126072917
"7",305.436567083333
"8",315.44330121875
"9",298.25855128125
"10",304.977686677083
"11",304.406687760417
"12",310.08018525
"13",311.1351039375
"14",313.811713072917
"15",310.845178072917
"16",308.346911135417
"17",311.836127229167
"18",332.966715260417
"19",291.97279509375
"20",297.714792177083
"21",288.291971989583
"22",315.610476739583
"23",323.314546958333
"24",295.66414903125
"25",288.446249854167
"26",306.8277248125
"27",311.55259546875
"28",329.953980427083
"29",326.520638552083
"30",331.0375300625
"31",338.206462145833
"32",327.869385510417
"33",315.76755059375
"34",319.95895540625
"35",330.026366729167
