"","x"
"1",418.244342628205
"2",402.469085884615
"3",411.19232074359
"4",414.845309961538
"5",418.965752435897
"6",402.686578730769
"7",400.784707782051
"8",420.612711589744
"9",392.321919589744
"10",399.811698897436
"11",398.941048846154
"12",409.478476794872
"13",408.642208320513
"14",417.2422685
"15",412.142774410256
"16",404.545282871795
"17",413.508382897436
"18",448.366802346154
"19",389.97977475641
"20",397.484258717949
"21",379.782849705128
"22",425.278824794872
"23",431.403694641025
"24",394.41235848718
"25",388.308081961538
"26",407.604529461538
"27",409.548978282051
"28",444.661175705128
"29",436.65917774359
"30",439.99180425641
"31",454.867293487179
"32",441.0847045
"33",415.811885910257
"34",424.702391051282
"35",447.121309897436
