"","x"
"1",125.198444476344
"2",122.407238332258
"3",121.695221008602
"4",120.9131427
"5",122.377528269892
"6",118.088677189247
"7",119.320469821505
"8",123.940260719355
"9",117.916361068817
"10",121.116874965591
"11",119.574055693548
"12",124.361116817204
"13",123.344049946237
"14",124.57877926129
"15",122.969119752688
"16",121.46624974086
"17",122.590231489247
"18",122.27457124086
"19",119.128577263441
"20",118.612776154839
"21",117.267060729032
"22",125.483624465591
"23",126.867016934409
"24",121.636363188172
"25",124.052392990323
"26",125.46175991828
"27",121.079236374194
"28",129.468634712903
"29",128.986541750538
"30",133.084869848387
"31",140.552348765591
"32",134.951435504301
"33",127.870157360215
"34",128.179662187097
"35",133.219599164516
