"","x"
"1",235.263979789116
"2",228.090163020408
"3",231.402696676871
"4",233.802501489796
"5",234.865326445578
"6",223.753059377551
"7",223.281852612245
"8",236.195624557823
"9",219.655639707483
"10",227.319218914966
"11",224.015912836735
"12",230.188073527211
"13",229.916945731293
"14",235.53093470068
"15",232.624893017007
"16",229.431439802721
"17",233.530697887755
"18",242.420117353741
"19",222.185823462585
"20",224.470828261905
"21",220.576806819728
"22",240.464044496599
"23",243.097469996599
"24",225.049732108844
"25",223.967901891156
"26",232.276571265306
"27",228.605271632653
"28",245.771041955782
"29",246.602269928571
"30",254.520090578231
"31",263.397298704082
"32",255.927910333333
"33",237.610073554422
"34",241.127057010204
"35",252.253533357143
