"","x"
"1",57.2647929090909
"2",54.7851058787879
"3",56.3211086212121
"4",57.4000627878788
"5",57.7782287525252
"6",55.5705522878788
"7",56.0706081414141
"8",58.9030223686869
"9",55.0187577222222
"10",56.9376530656566
"11",56.9799147070707
"12",57.4350902020202
"13",57.1416102929293
"14",57.7427837929293
"15",57.9980103888889
"16",58.4648226414141
"17",59.6053315959596
"18",65.4971237727273
"19",57.8802859242424
"20",58.1295454292929
"21",52.5040516767677
"22",58.8139786161616
"23",57.7700725555556
"24",55.8240505808081
"25",55.0889297828283
"26",59.7367043080808
"27",56.7130016565657
"28",65.9639518181818
"29",64.0747532020202
"30",63.3684148131313
"31",63.4553686666667
"32",62.1225858131313
"33",58.1816164848485
"34",59.6004286717172
"35",62.7257393737374
