"","x"
"1",89.4471611764211
"2",87.0036264138872
"3",87.5898031160058
"4",87.7238874470318
"5",88.3974897707153
"6",84.4779441489407
"7",85.2090789848962
"8",89.1009020012586
"9",83.4468115015732
"10",86.2675734174533
"11",85.9668698109923
"12",88.2454425802391
"13",87.6536199666457
"14",88.6450917608559
"15",87.8275192007552
"16",86.8555300195091
"17",88.0094824772394
"18",91.304069517726
"19",84.4530874136773
"20",84.9325247709251
"21",82.3414473373191
"22",90.1976506920495
"23",91.5570564996854
"24",85.5177916763164
"25",85.8684689234318
"26",89.5803031709671
"27",86.9076379213343
"28",94.9166446228235
"29",94.5049667644222
"30",96.9875828732956
"31",100.992170286763
"32",97.0283520352424
"33",90.383152883994
"34",91.3087509955947
"35",95.8108356102371
