"","x"
"1",106.728609833333
"2",106.1699785
"3",106.209420333333
"4",103.8351425
"5",102.8413945
"6",98.9870425
"7",99.616832
"8",103.653454
"9",98.210364
"10",102.532163166667
"11",103.837896833333
"12",104.164347833333
"13",102.918609
"14",103.676638333333
"15",104.560721833333
"16",105.616284
"17",104.774753833333
"18",111.199267833333
"19",102.600139833333
"20",102.775212
"21",97.4391006666667
"22",104.3066875
"23",105.2749435
"24",100.440314833333
"25",100.140015666667
"26",106.9784775
"27",104.2912325
"28",114.725414833333
"29",112.8786915
"30",113.463026666667
"31",115.481476666667
"32",112.656583833333
"33",106.370976333333
"34",108.038607333333
"35",109.940456666667
