"","x"
"1",90.9106566666667
"2",91.2588531666667
"3",91.079471
"4",89.4055183333333
"5",88.9036036666667
"6",86.1056401666667
"7",86.7480558333333
"8",89.0100793333333
"9",84.9022496666667
"10",88.4178805
"11",89.5802965
"12",90.2295801666667
"13",88.9557396666667
"14",89.1751746666667
"15",90.3213898333333
"16",90.8980601666667
"17",90.2291468333333
"18",94.6683541666667
"19",87.8968283333333
"20",87.7650936666667
"21",83.3681973333333
"22",88.0595466666667
"23",89.2224035
"24",86.068604
"25",86.154984
"26",92.1755396666667
"27",89.891355
"28",98.6769673333333
"29",97.107253
"30",96.6297558333333
"31",98.2559236666667
"32",95.330216
"33",91.2020078333333
"34",91.6336656666667
"35",94.2775628333333
