"","x"
"1",121.864267
"2",120.418952333333
"3",120.695242333333
"4",118.397421333333
"5",117.269481
"6",112.513921
"7",113.334737
"8",118.799164666667
"9",111.937308666667
"10",116.943166
"11",118.669965
"12",118.87506
"13",117.493462
"14",118.461393
"15",119.225804666667
"16",120.514055333333
"17",119.651995
"18",128.095424666667
"19",117.553003666667
"20",117.921964666667
"21",111.159002666667
"22",120.397211
"23",121.174438333333
"24",114.900533
"25",114.458776333333
"26",122.146858
"27",118.756665333333
"28",131.214607
"29",129.181268333333
"30",130.160888
"31",132.667008333333
"32",129.597729
"33",121.491516666667
"34",123.975409666667
"35",126.316535
