"","x"
"1",63.0772717135135
"2",62.8621525441441
"3",62.7365646936937
"4",63.2912183027027
"5",62.426052563964
"6",59.8356813117117
"7",59.8291752522522
"8",60.7182109081081
"9",56.9864598576576
"10",59.8443332306306
"11",60.0811845387387
"12",61.2507202648649
"13",61.3754015297297
"14",61.4797287315315
"15",61.946484354955
"16",61.8379477945946
"17",61.5928899495496
"18",59.8379387747748
"19",59.743758790991
"20",59.1288437711712
"21",60.2774893153153
"22",61.6046788198199
"23",63.5483451297297
"24",59.7225817927928
"25",59.4704290900901
"26",62.5814755675676
"27",61.2503168054054
"28",65.4492327513513
"29",67.3974952342342
"30",69.7448358288289
"31",71.5665147369369
"32",67.9953792612612
"33",63.7826729009009
"34",62.1919111081081
"35",64.9656209855856
