"","x"
"1",18.1651360770404
"2",16.4704366216629
"3",16.3942647429443
"4",16.2340078337147
"5",17.0915199504195
"6",15.0766677101449
"7",16.6246044111365
"8",19.2025184126621
"9",17.0291422486651
"10",18.1535996193745
"11",18.2981277650648
"12",19.2503255171625
"13",18.1810970701754
"14",18.4168121685736
"15",17.8421818070175
"16",16.9173628512586
"17",17.8193703371472
"18",19.0223143020595
"19",16.6236931723875
"20",16.8307255789474
"21",14.9945608581236
"22",19.3986867459954
"23",19.7984704218154
"24",17.8841457627765
"25",19.5308688016781
"26",20.5004168390542
"27",17.2422574256293
"28",22.0320466003051
"29",21.3848275141114
"30",22.9547230953471
"31",26.1185907627765
"32",23.9577661357742
"33",19.3261422486651
"34",20.4203404370709
"35",23.1366968085431
