"","x"
"1",145.948179024024
"2",144.480711912913
"3",146.20297754054
"4",145.675795342342
"5",145.55132466967
"6",140.382446039039
"7",139.812285786787
"8",143.202092624625
"9",134.295322084084
"10",138.063902696697
"11",139.306477171171
"12",140.933390492492
"13",140.683240177177
"14",141.896510075075
"15",142.035384225225
"16",142.038136072072
"17",142.436228414414
"18",153.430423600601
"19",138.482435015015
"20",139.804648528529
"21",133.002691147147
"22",145.403970471471
"23",145.889080246246
"24",136.790363237237
"25",133.958339585586
"26",142.8472146997
"27",142.72110451952
"28",155.265901483484
"29",152.996808336336
"30",153.799261342342
"31",155.24364739039
"32",151.407316072072
"33",144.794563297297
"34",146.849477645646
"35",150.191309726727
